"Freq [MHz]","dB(S(1,1)) [] - WTRIAGX='4mm' WTRIAGY='4mm'","dB(S(1,1)) [] - WTRIAGX='8mm' WTRIAGY='4mm'","dB(S(1,1)) [] - WTRIAGX='12mm' WTRIAGY='4mm'","dB(S(1,1)) [] - WTRIAGX='16mm' WTRIAGY='4mm'","dB(S(1,1)) [] - WTRIAGX='20mm' WTRIAGY='4mm'","dB(S(1,1)) [] - WTRIAGX='24mm' WTRIAGY='4mm'","dB(S(1,1)) [] - WTRIAGX='28mm' WTRIAGY='4mm'","dB(S(1,1)) [] - WTRIAGX='32mm' WTRIAGY='4mm'","dB(S(1,1)) [] - WTRIAGX='4mm' WTRIAGY='8mm'","dB(S(1,1)) [] - WTRIAGX='8mm' WTRIAGY='8mm'","dB(S(1,1)) [] - WTRIAGX='12mm' WTRIAGY='8mm'","dB(S(1,1)) [] - WTRIAGX='16mm' WTRIAGY='8mm'","dB(S(1,1)) [] - WTRIAGX='20mm' WTRIAGY='8mm'","dB(S(1,1)) [] - WTRIAGX='24mm' WTRIAGY='8mm'","dB(S(1,1)) [] - WTRIAGX='28mm' WTRIAGY='8mm'","dB(S(1,1)) [] - WTRIAGX='32mm' WTRIAGY='8mm'","dB(S(1,1)) [] - WTRIAGX='4mm' WTRIAGY='12mm'","dB(S(1,1)) [] - WTRIAGX='8mm' WTRIAGY='12mm'","dB(S(1,1)) [] - WTRIAGX='12mm' WTRIAGY='12mm'","dB(S(1,1)) [] - WTRIAGX='16mm' WTRIAGY='12mm'","dB(S(1,1)) [] - WTRIAGX='20mm' WTRIAGY='12mm'","dB(S(1,1)) [] - WTRIAGX='24mm' WTRIAGY='12mm'","dB(S(1,1)) [] - WTRIAGX='28mm' WTRIAGY='12mm'","dB(S(1,1)) [] - WTRIAGX='32mm' WTRIAGY='12mm'","dB(S(1,1)) [] - WTRIAGX='4mm' WTRIAGY='16mm'","dB(S(1,1)) [] - WTRIAGX='8mm' WTRIAGY='16mm'","dB(S(1,1)) [] - WTRIAGX='12mm' WTRIAGY='16mm'","dB(S(1,1)) [] - WTRIAGX='16mm' WTRIAGY='16mm'","dB(S(1,1)) [] - WTRIAGX='20mm' WTRIAGY='16mm'","dB(S(1,1)) [] - WTRIAGX='24mm' WTRIAGY='16mm'","dB(S(1,1)) [] - WTRIAGX='28mm' WTRIAGY='16mm'","dB(S(1,1)) [] - WTRIAGX='32mm' WTRIAGY='16mm'","dB(S(1,1)) [] - WTRIAGX='4mm' WTRIAGY='20mm'","dB(S(1,1)) [] - WTRIAGX='8mm' WTRIAGY='20mm'","dB(S(1,1)) [] - WTRIAGX='12mm' WTRIAGY='20mm'","dB(S(1,1)) [] - WTRIAGX='16mm' WTRIAGY='20mm'","dB(S(1,1)) [] - WTRIAGX='20mm' WTRIAGY='20mm'","dB(S(1,1)) [] - WTRIAGX='24mm' WTRIAGY='20mm'","dB(S(1,1)) [] - WTRIAGX='28mm' WTRIAGY='20mm'","dB(S(1,1)) [] - WTRIAGX='32mm' WTRIAGY='20mm'","dB(S(1,1)) [] - WTRIAGX='4mm' WTRIAGY='24mm'","dB(S(1,1)) [] - WTRIAGX='8mm' WTRIAGY='24mm'","dB(S(1,1)) [] - WTRIAGX='12mm' WTRIAGY='24mm'","dB(S(1,1)) [] - WTRIAGX='16mm' WTRIAGY='24mm'","dB(S(1,1)) [] - WTRIAGX='20mm' WTRIAGY='24mm'","dB(S(1,1)) [] - WTRIAGX='24mm' WTRIAGY='24mm'","dB(S(1,1)) [] - WTRIAGX='28mm' WTRIAGY='24mm'","dB(S(1,1)) [] - WTRIAGX='32mm' WTRIAGY='24mm'","dB(S(1,1)) [] - WTRIAGX='4mm' WTRIAGY='28mm'","dB(S(1,1)) [] - WTRIAGX='8mm' WTRIAGY='28mm'","dB(S(1,1)) [] - WTRIAGX='12mm' WTRIAGY='28mm'","dB(S(1,1)) [] - WTRIAGX='16mm' WTRIAGY='28mm'","dB(S(1,1)) [] - WTRIAGX='20mm' WTRIAGY='28mm'","dB(S(1,1)) [] - WTRIAGX='24mm' WTRIAGY='28mm'","dB(S(1,1)) [] - WTRIAGX='28mm' WTRIAGY='28mm'","dB(S(1,1)) [] - WTRIAGX='32mm' WTRIAGY='28mm'","dB(S(1,1)) [] - WTRIAGX='4mm' WTRIAGY='32mm'","dB(S(1,1)) [] - WTRIAGX='8mm' WTRIAGY='32mm'","dB(S(1,1)) [] - WTRIAGX='12mm' WTRIAGY='32mm'","dB(S(1,1)) [] - WTRIAGX='16mm' WTRIAGY='32mm'","dB(S(1,1)) [] - WTRIAGX='20mm' WTRIAGY='32mm'","dB(S(1,1)) [] - WTRIAGX='24mm' WTRIAGY='32mm'","dB(S(1,1)) [] - WTRIAGX='28mm' WTRIAGY='32mm'","dB(S(1,1)) [] - WTRIAGX='32mm' WTRIAGY='32mm'"
50,-0.0185444477154727,-0.0185444477154727,-0.0185444477154727,-0.0185444477154727,-0.0185444477154727,-0.0185444477154727,-0.0185444477154727,-0.0185444477154727,-0.0196750331846979,-0.0213988620383587,-0.0213348394645836,-0.022225908679649,-0.0233361233700187,-0.02354452188383,-0.0245044583158069,-0.0252165180171746,-0.0213599456790431,-0.023366464039746,-0.0256843443425728,-0.0280601028479974,-0.030262238805764,-0.0326733768329921,-0.0334644833686198,-0.0358736718095627,-0.0235998092923347,-0.0265951738405043,-0.0298910463988618,-0.0331381198686646,-0.0363588177148448,-0.0395008939454188,-0.0435585702371624,-0.0457845323994596,-0.0259109638185019,-0.0301991532972225,-0.0347834933866672,-0.0393952234640091,-0.0440994666924263,-0.0497640884326937,-0.0531690240876092,-0.0577624442730899,-0.0283111352808231,-0.0341302781574338,-0.0403909253981469,-0.0460940829527912,-0.0523503699337554,-0.0578570983758495,-0.0640924743953039,-0.069005854760577,-0.0304876155080479,-0.0375042158041445,-0.0448913367226465,-0.0519676746569319,-0.0589056574189856,-0.0655964593579035,-0.0720653239322937,-0.0788338830049314,-0.0327549743625169,-0.0410117370171241,-0.0495186566758692,-0.0579062101181088,-0.0656432500914225,-0.0733770114934481,-0.0808127250795828,-0.0876409348270476
55,-0.0208830188571179,-0.0208830188571179,-0.0208830188571179,-0.0208830188571179,-0.0208830188571179,-0.0208830188571179,-0.0208830188571179,-0.0208830188571179,-0.0221118998284943,-0.024009359168186,-0.0239382162229806,-0.0249157747431405,-0.026140167229798,-0.0263736854797548,-0.0274333676210036,-0.0282218157683453,-0.0239437975120432,-0.0261477856138776,-0.0287052356791088,-0.0313210583465078,-0.0337481056589028,-0.0364030311000138,-0.0372930383188789,-0.0399430066538866,-0.0263897142752508,-0.029676675328531,-0.0333102662735246,-0.0368822565939505,-0.0404338174534034,-0.0438923033836308,-0.0483529762455065,-0.050815122989596,-0.0289175405390281,-0.0336189338360307,-0.0386558008488699,-0.0437184164155644,-0.0488848607940117,-0.0550771987857387,-0.0588324767732508,-0.0638521828921049,-0.0315388601012472,-0.0379110034486349,-0.0447737700546685,-0.0510204869824274,-0.0578568982228678,-0.0638662941253692,-0.0706441456207029,-0.076271687036805,-0.0338953911265677,-0.041567602613615,-0.0496521014274444,-0.0573755660704304,-0.0649316695853703,-0.0721941417835182,-0.079193518312006,-0.0868085473631798,-0.0363652633648668,-0.0453769129299025,-0.0546555258985214,-0.063777919943901,-0.0721619608693247,-0.0805105932005129,-0.0884891304350708,-0.0961369152157672
60,-0.0234179777893325,-0.0234179777893325,-0.0234179777893325,-0.0234179777893325,-0.0234179777893325,-0.0234179777893325,-0.0234179777893325,-0.0234179777893325,-0.024749732638684,-0.0268321280129726,-0.0267532364357645,-0.0278233299587649,-0.0291703685641279,-0.0294316432896762,-0.0305989122764104,-0.0314698818081714,-0.0267349941316002,-0.0291491828685676,-0.0319634586308551,-0.0348365656822437,-0.0375054370443184,-0.0404216374595794,-0.0414214666493035,-0.0443290677765941,-0.0293977693942663,-0.0329947630230261,-0.0369902935668072,-0.0409103281360999,-0.0448168037934675,-0.0486141206148931,-0.0535040372619904,-0.0562208914310269,-0.0321538274550286,-0.0372935935360515,-0.0428126791552981,-0.0483553321700813,-0.0540131183817593,-0.0607601672064742,-0.0648906350380592,-0.0703570555963199,-0.0350073054893528,-0.0419648584919801,-0.0494654581953437,-0.0562871536667601,-0.0637322607126633,-0.0702659865452598,-0.0776032983517712,-0.0838146727839818,-0.0375501260647755,-0.0459134469444689,-0.0547333391124437,-0.063134169851468,-0.0713324776063635,-0.0791820675489708,-0.0867200330150686,-0.095013763808739,-0.0402316009140586,-0.0500356513848698,-0.0601215304276988,-0.0700057137383825,-0.0790514197456436,-0.0880193968050864,-0.0965323774402388,-0.104793771792037
65,-0.026141328556891,-0.026141328556891,-0.026141328556891,-0.026141328556891,-0.026141328556891,-0.026141328556891,-0.026141328556891,-0.026141328556891,-0.0275791763793856,-0.0298563194065292,-0.0297690599746122,-0.03093707964455,-0.0324145143464706,-0.0327062116373405,-0.0339883995876059,-0.0349476628141517,-0.0297220444761756,-0.0323574151796131,-0.0354441359988767,-0.0385900746338245,-0.0415163122299249,-0.0447095767192965,-0.0458304368768402,-0.0490107290089568,-0.0326100228612381,-0.0365328091342193,-0.0409121648285049,-0.0452010545291581,-0.0494842836221017,-0.0536405658861121,-0.0589824795064466,-0.0619712951800808,-0.0356033730476623,-0.0412026618919692,-0.0472298190213027,-0.0532777133576117,-0.0594517611913629,-0.0667741955525935,-0.0713021343813784,-0.0772302154703786,-0.0386972835358146,-0.0462670155470409,-0.0544351842855904,-0.0618576856958623,-0.0699329402667076,-0.0770058280397257,-0.0849108186791053,-0.0915633441779702,-0.0414297043162119,-0.0505122613735966,-0.0600978695130954,-0.069198035023165,-0.0780537454435151,-0.086496268579154,-0.0945707569384303,-0.103359430269015,-0.0443291485489939,-0.054953831730646,-0.0658725402586025,-0.0765345410662125,-0.0862451836878016,-0.0958245197085561,-0.10485037731866,-0.113504190837274
70,-0.0290439980738758,-0.0290439980738758,-0.0290439980738758,-0.0290439980738758,-0.0290439980738758,-0.0290439980738758,-0.0290439980738758,-0.0290439980738758,-0.0305896561542614,-0.0330697043008028,-0.0329734655899064,-0.034244064378595,-0.0358588356553137,-0.0361836351684382,-0.0375874938869649,-0.0386404078275916,-0.0328920278248355,-0.035757618060677,-0.0391305688506527,-0.0425630056934512,-0.0457605959280073,-0.0492448050881718,-0.0504981583803322,-0.0539641867202351,-0.0360108555713846,-0.0402722271249646,-0.04505467669477,-0.0497306296052332,-0.0544099634424574,-0.0589427774803997,-0.0647555636751901,-0.0680321314080379,-0.039247831705451,-0.0453233578472571,-0.0518801850570724,-0.0584541506867235,-0.0651647230358448,-0.0730763711354038,-0.078021169477572,-0.0844199221844929,-0.0425874788702729,-0.0507899793610977,-0.0596489243797681,-0.0676919687135801,-0.0764111657602031,-0.0840307789027326,-0.0925024632820023,-0.09945698430789,-0.04550965135606,-0.0553315519519412,-0.0657048666196326,-0.075517484468521,-0.0850364168481354,-0.0940676713464079,-0.102666222295191,-0.111768751777349,-0.0486305009085479,-0.0600940061853497,-0.0718603831340113,-0.0833047284390641,-0.093671816490734,-0.103841958971489,-0.113346108196882,-0.122177408948089
75,-0.0321157233159633,-0.0321157233159633,-0.0321157233159633,-0.0321157233159633,-0.0321157233159633,-0.0321157233159633,-0.0321157233159633,-0.0321157233159633,-0.0337692582483549,-0.0364585464476723,-0.0363527230651046,-0.03772972426366,-0.0394878637846734,-0.0398484370337077,-0.0413800584751366,-0.0425315031638598,-0.0362304691588688,-0.039333166924408,-0.0430040843768427,-0.0467345801085642,-0.0502157489552052,-0.0540026472812113,-0.0554001555370895,-0.0591627168774499,-0.0395828509350353,-0.0441923256036723,-0.0493942176631447,-0.0544725288468659,-0.0595645345345885,-0.0644885745203821,-0.070786828713565,-0.0743652577370772,-0.0430668320908587,-0.0496304406624084,-0.0567338449398144,-0.0638498911375839,-0.0711121423995392,-0.0796194730678962,-0.0849972770068436,-0.091869341385047,-0.0466543197808667,-0.0555034463377848,-0.0650692897100299,-0.0737460259136814,-0.0831147965151582,-0.091281041891611,-0.100308890241617,-0.107449297799948,-0.0497630131362157,-0.0603356977741619,-0.0715097501333612,-0.0820385490758145,-0.0922167298104881,-0.101822234299441,-0.110921904332795,-0.120182318160588,-0.0531055736186693,-0.0654153034134779,-0.0780327937084631,-0.0902520294378776,-0.101255098158603,-0.111983054059808,-0.121918343892563,-0.130743553809211
80,-0.0353449217026721,-0.0353449217026721,-0.0353449217026721,-0.0353449217026721,-0.0353449217026721,-0.0353449217026721,-0.0353449217026721,-0.0353449217026721,-0.0371045935680516,-0.0400074568064851,-0.0398914470488719,-0.0413777436985829,-0.0432842657974427,-0.0436832474199218,-0.0453479745836223,-0.0466022832452582,-0.039721197019921,-0.0430655219698581,-0.0470438627420913,-0.0510816265203477,-0.0548566127129232,-0.0589555612627919,-0.0605090101469265,-0.0645763985052969,-0.0433066469995386,-0.0482701427460399,-0.0539045775456726,-0.0593972919087813,-0.0649154301226235,-0.0702421894641239,-0.0770358045393651,-0.0809282794984231,-0.0470378281340421,-0.0540960417944172,-0.0617577774627252,-0.0694266234324191,-0.0772501321173157,-0.0863517607372108,-0.0921751002249966,-0.0995163322109733,-0.0508718329616276,-0.0603741467420834,-0.070655364083283,-0.0799718586540705,-0.0899871995721936,-0.0986919987736651,-0.10825570609378,-0.115512203782579,-0.0541602202702072,-0.0654858169954577,-0.0774640665318174,-0.0887028986526688,-0.0995262390428665,-0.109681107478807,-0.119248558145203,-0.128562137098928,-0.0577214779279267,-0.0708733220514352,-0.0843333594977751,-0.0973076837274749,-0.108914257925971,-0.120154968089804,-0.130462428581161,-0.139157710473981
85,-0.0387185423724271,-0.0387185423724271,-0.0387185423724271,-0.0387185423724271,-0.0387185423724271,-0.0387185423724271,-0.0387185423724271,-0.0387185423724271,-0.0405806413786549,-0.0436992273367139,-0.0435724302244654,-0.0451698741603862,-0.0472286569217491,-0.0476686076359994,-0.0494709343688224,-0.0508318142125257,-0.0433461817056211,-0.0469340519327807,-0.0512267404394227,-0.0555783614584283,-0.0596551644223196,-0.0640728713994253,-0.0657940683775751,-0.0701717997240731,-0.0471607688070043,-0.0524802590926841,-0.0585567321802174,-0.0644722771399635,-0.0704265517305651,-0.0761639674583543,-0.0834576913340885,-0.0876742011293019,-0.0511359307652392,-0.0586894759054721,-0.0669156575578653,-0.0751422390411698,-0.0835305248900257,-0.0932167444915595,-0.0994941360733964,-0.107293225386237,-0.055211480262106,-0.0653656685136477,-0.0763625241476222,-0.0863172729345838,-0.0969671210741733,-0.106194151654397,-0.116263533708022,-0.123639731000929,-0.0586689360786423,-0.0707396184131479,-0.0835153596209057,-0.0954477706566911,-0.106891848957342,-0.117560817913673,-0.127552596575869,-0.136895578103435,-0.0624423810312292,-0.0764200137797224,-0.0907014642141558,-0.104398486760812,-0.116564233312173,-0.128261209228213,-0.138871096008176,-0.147403656082411
90,-0.0422218956651795,-0.0422218956651795,-0.0422218956651795,-0.0422218956651795,-0.0422218956651795,-0.0422218956651795,-0.0422218956651795,-0.0422218956651795,-0.0441805706589033,-0.0475146414585329,-0.0473764531004713,-0.0490857321009906,-0.0512993867807964,-0.0517827465155595,-0.0537262044694473,-0.0551966466688353,-0.0470853513044428,-0.0509158340895017,-0.0555269872854579,-0.0601961405527531,-0.0645802396124671,-0.0693204663595006,-0.0712211079479497,-0.0759116220613063,-0.051121438625949,-0.0567945862640842,-0.0633186006519792,-0.0696613850994518,-0.0760579615912529,-0.0822100294533919,-0.090003002927299,-0.0945510393100526,-0.0553337182303896,-0.0633770288808597,-0.0721676161881689,-0.0809505668613099,-0.089900593422529,-0.100152938949721,-0.106888466170672,-0.115126595189485,-0.0596419756032293,-0.0704382611179722,-0.0821422415790057,-0.0927256917609336,-0.103988553485148,-0.113713072583283,-0.124248106459312,-0.131851994354048,-0.0632538870123728,-0.0760512376840949,-0.0896070305685806,-0.102205898112752,-0.114235860124477,-0.125373485016965,-0.135736513785662,-0.145199185053969,-0.0672293509195857,-0.0820035555748949,-0.0970722292995851,-0.111446872357316,-0.12411595804387,-0.136202194273193,-0.147035332168142,-0.155497215525185
95,-0.04583845767382,-0.04583845767382,-0.04583845767382,-0.04583845767382,-0.04583845767382,-0.04583845767382,-0.04583845767382,-0.04583845767382,-0.0478855359499184,-0.0514322580291974,-0.0512820672728359,-0.0531025686003677,-0.0554722959757192,-0.0560013253835352,-0.0580883561082597,-0.0596705333324978,-0.0509163826813323,-0.0549854275095088,-0.0599160537702232,-0.0649031768747619,-0.0695972178731872,-0.074660457621779,-0.0767519606958098,-0.0817542982163836,-0.0551623613446354,-0.0611821287903492,-0.06815477191292,-0.0749247476924617,-0.0817655376415913,-0.0883318957349918,-0.0966171717679408,-0.101501395521011,-0.0596010225340486,-0.0681217204755205,-0.0774699727942198,-0.0868010796095305,-0.0963027440633537,-0.107093599768283,-0.114286473729796,-0.122937029657002,-0.0641290799909149,-0.0755486177189414,-0.0879418662550531,-0.0991359536609142,-0.110980600924142,-0.121169365749774,-0.13212039515847,-0.14019922952092,-0.067876673805606,-0.0813710572135415,-0.0956781875719884,-0.108905438477503,-0.121476032806242,-0.133027070881226,-0.14369935965529,-0.153522315099508,-0.0720401844891879,-0.0875682108312261,-0.103376454728224,-0.11837101078347,-0.131476682160272,-0.143875856816198,-0.154845280611066,-0.163489197928951
