Gráfico,frequência de ressonância,S11,BW
"{""dB(S(1,1)) [] - WTRIAGX='4mm' WTRIAGY='4mm'""}",425.0,-11.97929,25.0
"{""dB(S(1,1)) [] - WTRIAGX='8mm' WTRIAGY='4mm'""}",425.0,-11.97929,25.0
"{""dB(S(1,1)) [] - WTRIAGX='12mm' WTRIAGY='4mm'""}",425.0,-11.97929,25.0
"{""dB(S(1,1)) [] - WTRIAGX='16mm' WTRIAGY='4mm'""}",425.0,-11.97929,25.0
"{""dB(S(1,1)) [] - WTRIAGX='20mm' WTRIAGY='4mm'""}",425.0,-11.97929,25.0
"{""dB(S(1,1)) [] - WTRIAGX='24mm' WTRIAGY='4mm'""}",425.0,-11.97929,25.0
"{""dB(S(1,1)) [] - WTRIAGX='28mm' WTRIAGY='4mm'""}",425.0,-11.97929,25.0
"{""dB(S(1,1)) [] - WTRIAGX='32mm' WTRIAGY='4mm'""}",425.0,-11.97929,25.0
"{""dB(S(1,1)) [] - WTRIAGX='4mm' WTRIAGY='8mm'""}",420.0,-11.37107,25.0
"{""dB(S(1,1)) [] - WTRIAGX='8mm' WTRIAGY='8mm'""}",415.0,-10.46293,15.0
"{""dB(S(1,1)) [] - WTRIAGX='12mm' WTRIAGY='8mm'""}",410.0,-10.42049,15.0
"{""dB(S(1,1)) [] - WTRIAGX='16mm' WTRIAGY='8mm'""}",,,
"{""dB(S(1,1)) [] - WTRIAGX='20mm' WTRIAGY='8mm'""}",,,
"{""dB(S(1,1)) [] - WTRIAGX='24mm' WTRIAGY='8mm'""}",,,
"{""dB(S(1,1)) [] - WTRIAGX='28mm' WTRIAGY='8mm'""}",,,
"{""dB(S(1,1)) [] - WTRIAGX='32mm' WTRIAGY='8mm'""}",,,
"{""dB(S(1,1)) [] - WTRIAGX='4mm' WTRIAGY='12mm'""}",415.0,-10.68097,20.0
"{""dB(S(1,1)) [] - WTRIAGX='8mm' WTRIAGY='12mm'""}",,,
"{""dB(S(1,1)) [] - WTRIAGX='12mm' WTRIAGY='12mm'""}",,,
"{""dB(S(1,1)) [] - WTRIAGX='16mm' WTRIAGY='12mm'""}",,,
"{""dB(S(1,1)) [] - WTRIAGX='20mm' WTRIAGY='12mm'""}",,,
"{""dB(S(1,1)) [] - WTRIAGX='24mm' WTRIAGY='12mm'""}",355.0,-10.16788,10.0
"{""dB(S(1,1)) [] - WTRIAGX='28mm' WTRIAGY='12mm'""}",345.0,-11.44170,15.0
"{""dB(S(1,1)) [] - WTRIAGX='32mm' WTRIAGY='12mm'""}",340.0,-12.41056,15.0
"{""dB(S(1,1)) [] - WTRIAGX='4mm' WTRIAGY='16mm'""}",,,
"{""dB(S(1,1)) [] - WTRIAGX='8mm' WTRIAGY='16mm'""}",,,
"{""dB(S(1,1)) [] - WTRIAGX='12mm' WTRIAGY='16mm'""}",370.0,-10.00514,10.0
"{""dB(S(1,1)) [] - WTRIAGX='16mm' WTRIAGY='16mm'""}",355.0,-11.80457,15.0
"{""dB(S(1,1)) [] - WTRIAGX='20mm' WTRIAGY='16mm'""}",345.0,-12.81749,15.0
"{""dB(S(1,1)) [] - WTRIAGX='24mm' WTRIAGY='16mm'""}",335.0,-14.98996,15.0
"{""dB(S(1,1)) [] - WTRIAGX='28mm' WTRIAGY='16mm'""}",325.0,-23.05945,15.0
"{""dB(S(1,1)) [] - WTRIAGX='32mm' WTRIAGY='16mm'""}",320.0,-18.16102,15.0
"{""dB(S(1,1)) [] - WTRIAGX='4mm' WTRIAGY='20mm'""}",,,
"{""dB(S(1,1)) [] - WTRIAGX='8mm' WTRIAGY='20mm'""}",,,
"{""dB(S(1,1)) [] - WTRIAGX='12mm' WTRIAGY='20mm'""}",365.0,-10.05317,10.0
"{""dB(S(1,1)) [] - WTRIAGX='16mm' WTRIAGY='20mm'""}",350.0,-13.37866,15.0
"{""dB(S(1,1)) [] - WTRIAGX='20mm' WTRIAGY='20mm'""}",340.0,-15.52058,15.0
"{""dB(S(1,1)) [] - WTRIAGX='24mm' WTRIAGY='20mm'""}",330.0,-16.24625,15.0
"{""dB(S(1,1)) [] - WTRIAGX='28mm' WTRIAGY='20mm'""}",320.0,-15.27667,15.0
"{""dB(S(1,1)) [] - WTRIAGX='32mm' WTRIAGY='20mm'""}",310.0,-18.62931,10.0
"{""dB(S(1,1)) [] - WTRIAGX='4mm' WTRIAGY='24mm'""}",,,
"{""dB(S(1,1)) [] - WTRIAGX='8mm' WTRIAGY='24mm'""}",,,
"{""dB(S(1,1)) [] - WTRIAGX='12mm' WTRIAGY='24mm'""}",355.0,-10.90504,15.0
"{""dB(S(1,1)) [] - WTRIAGX='16mm' WTRIAGY='24mm'""}",340.0,-13.52131,15.0
"{""dB(S(1,1)) [] - WTRIAGX='20mm' WTRIAGY='24mm'""}",330.0,-20.88899,15.0
"{""dB(S(1,1)) [] - WTRIAGX='24mm' WTRIAGY='24mm'""}",320.0,-19.08749,15.0
"{""dB(S(1,1)) [] - WTRIAGX='28mm' WTRIAGY='24mm'""}",310.0,-13.88475,15.0
"{""dB(S(1,1)) [] - WTRIAGX='32mm' WTRIAGY='24mm'""}",300.0,-14.58365,10.0
"{""dB(S(1,1)) [] - WTRIAGX='4mm' WTRIAGY='28mm'""}",,,
"{""dB(S(1,1)) [] - WTRIAGX='8mm' WTRIAGY='28mm'""}",,,
"{""dB(S(1,1)) [] - WTRIAGX='12mm' WTRIAGY='28mm'""}",350.0,-14.09195,15.0
"{""dB(S(1,1)) [] - WTRIAGX='16mm' WTRIAGY='28mm'""}",340.0,-23.38620,15.0
