Gráfico,frequência de ressonância,S11,BW
"{""dB(S(1,1)) [] - WTRIAGX='4mm' WTRIAGY='4mm'""}","200, 230","-9.43071, -10.74219",15.0
"{""dB(S(1,1)) [] - WTRIAGX='8mm' WTRIAGY='4mm'""}","200, 230","-9.43071, -10.74219",15.0
"{""dB(S(1,1)) [] - WTRIAGX='12mm' WTRIAGY='4mm'""}","200, 230","-9.43071, -10.74219",15.0
"{""dB(S(1,1)) [] - WTRIAGX='16mm' WTRIAGY='4mm'""}","200, 230","-9.43071, -10.74219",15.0
"{""dB(S(1,1)) [] - WTRIAGX='20mm' WTRIAGY='4mm'""}","200, 230","-9.43071, -10.74219",15.0
"{""dB(S(1,1)) [] - WTRIAGX='24mm' WTRIAGY='4mm'""}","200, 230","-9.43071, -10.74219",15.0
"{""dB(S(1,1)) [] - WTRIAGX='28mm' WTRIAGY='4mm'""}","200, 230","-9.43071, -10.74219",15.0
"{""dB(S(1,1)) [] - WTRIAGX='32mm' WTRIAGY='4mm'""}","200, 230","-9.43071, -10.74219",15.0
"{""dB(S(1,1)) [] - WTRIAGX='36mm' WTRIAGY='4mm'""}","200, 230","-9.43071, -10.74219",15.0
"{""dB(S(1,1)) [] - WTRIAGX='40mm' WTRIAGY='4mm'""}","200, 230","-9.43071, -10.74219",15.0
"{""dB(S(1,1)) [] - WTRIAGX='4mm' WTRIAGY='8mm'""}","200, 230","-9.93466, -10.34760",15.0
"{""dB(S(1,1)) [] - WTRIAGX='8mm' WTRIAGY='8mm'""}","200, 225","-9.19008, -10.19738",15.0
"{""dB(S(1,1)) [] - WTRIAGX='12mm' WTRIAGY='8mm'""}","200, 225","-9.42619, -10.13463",10.0
"{""dB(S(1,1)) [] - WTRIAGX='16mm' WTRIAGY='8mm'""}","200, 225","-9.49482, -9.98629",
"{""dB(S(1,1)) [] - WTRIAGX='20mm' WTRIAGY='8mm'""}","200, 220","-9.49087, -9.85811",
"{""dB(S(1,1)) [] - WTRIAGX='24mm' WTRIAGY='8mm'""}","200, 220","-10.09687, -9.80902",10.0
"{""dB(S(1,1)) [] - WTRIAGX='28mm' WTRIAGY='8mm'""}",215,-9.96113,
"{""dB(S(1,1)) [] - WTRIAGX='32mm' WTRIAGY='8mm'""}",215,-9.85161,
"{""dB(S(1,1)) [] - WTRIAGX='36mm' WTRIAGY='8mm'""}",205,-11.02881,20.0
"{""dB(S(1,1)) [] - WTRIAGX='40mm' WTRIAGY='8mm'""}",200,-11.08122,25.0
"{""dB(S(1,1)) [] - WTRIAGX='4mm' WTRIAGY='12mm'""}","200, 225","-10.91388, -9.74423",15.0
"{""dB(S(1,1)) [] - WTRIAGX='8mm' WTRIAGY='12mm'""}","200, 220","-11.45535, -9.46615",15.0
"{""dB(S(1,1)) [] - WTRIAGX='12mm' WTRIAGY='12mm'""}",200,-12.55185,20.0
"{""dB(S(1,1)) [] - WTRIAGX='16mm' WTRIAGY='12mm'""}",200,-13.58080,20.0
"{""dB(S(1,1)) [] - WTRIAGX='20mm' WTRIAGY='12mm'""}",195,-14.21876,20.0
"{""dB(S(1,1)) [] - WTRIAGX='24mm' WTRIAGY='12mm'""}",195,-16.87196,20.0
"{""dB(S(1,1)) [] - WTRIAGX='28mm' WTRIAGY='12mm'""}",190,-18.80410,15.0
"{""dB(S(1,1)) [] - WTRIAGX='32mm' WTRIAGY='12mm'""}",190,-19.87903,20.0
"{""dB(S(1,1)) [] - WTRIAGX='36mm' WTRIAGY='12mm'""}",185,-20.80794,15.0
"{""dB(S(1,1)) [] - WTRIAGX='40mm' WTRIAGY='12mm'""}",185,-17.31226,15.0
"{""dB(S(1,1)) [] - WTRIAGX='4mm' WTRIAGY='16mm'""}","200, 225","-11.02062, -9.39068",15.0
"{""dB(S(1,1)) [] - WTRIAGX='8mm' WTRIAGY='16mm'""}",200,-11.32935,20.0
"{""dB(S(1,1)) [] - WTRIAGX='12mm' WTRIAGY='16mm'""}",195,-13.38299,15.0
"{""dB(S(1,1)) [] - WTRIAGX='16mm' WTRIAGY='16mm'""}",195,-14.36732,20.0
"{""dB(S(1,1)) [] - WTRIAGX='20mm' WTRIAGY='16mm'""}",190,-18.71309,20.0
"{""dB(S(1,1)) [] - WTRIAGX='24mm' WTRIAGY='16mm'""}",185,-20.94325,15.0
"{""dB(S(1,1)) [] - WTRIAGX='28mm' WTRIAGY='16mm'""}",185,-16.47478,15.0
"{""dB(S(1,1)) [] - WTRIAGX='32mm' WTRIAGY='16mm'""}",180,-20.07912,15.0
